Candidate Name,Affiliation,Incumbent,Percentage of Vote,Winner,State,District,Money Raised,Money Spent
Jerry Carl,R,False,64.9,True,Alabama,01,1971321.0,1859349.0
James Averhart,D,False,35.0,False,Alabama,01,80095.0,78973.0
Barry Moore,R,False,65.3,True,Alabama,02,650807.0,669368.0
Phyllis Harvey-Hall,D,False,34.6,False,Alabama,02,56050.0,55988.0
Mike D Rogers,R,True,67.5,True,Alabama,03,1193111.0,1218564.0
Adia Winfrey,D,False,32.4,False,Alabama,03,50273.0,40971.0
Robert B Aderholt,R,True,82.5,True,Alabama,04,1255076.0,1323812.0
Mo Brooks,R,True,95.8,True,Alabama,05,655365.0,210045.0
Gary Palmer,R,True,97.1,True,Alabama,06,907219.0,909082.0
Terri Sewell,D,True,97.2,True,Alabama,07,2168165.0,1495957.0
Don Young,R,True,54.4,True,Alaska,01,1922901.0,1790448.0
Alyse Galvin,I,False,45.3,False,Alaska,01,5178452.0,5088103.0
Tom O'Halleran,D,True,51.6,True,Arizona,01,3381353.0,3324138.0
Tiffany Shedd,R,False,48.4,False,Arizona,01,1675618.0,1615704.0
Ann Kirkpatrick,D,True,55.1,True,Arizona,02,1849862.0,1384765.0
Brandon Martin,R,False,44.9,False,Arizona,02,374821.0,381067.0
Raul M Grijalva,D,True,64.6,True,Arizona,03,843560.0,655507.0
Daniel Wood,R,False,35.4,False,Arizona,03,41422.0,41962.0
Paul Gosar,R,True,69.8,True,Arizona,04,622151.0,729892.0
Delina DiSanto,D,False,30.2,False,Arizona,04,77168.0,79758.0
Andy Biggs,R,True,58.9,True,Arizona,05,1602181.0,1236380.0
Joan Greene,D,False,41.1,False,Arizona,05,356069.0,209789.0
David Schweikert,R,True,52.2,True,Arizona,06,2265329.0,2249979.0
Hiral Tipirneni,D,False,47.8,False,Arizona,06,6301073.0,6366702.0
Tom Lewellen,I,False,0,False,Arizona,06,11685.0,11000.0
Ruben Gallego,D,True,76.7,True,Arizona,07,1811754.0,1653961.0
Josh Barnett,R,False,23.3,False,Arizona,07,28093.0,17883.0
Debbie Lesko,R,True,59.6,True,Arizona,08,1605245.0,987453.0
Michael Muscato,D,False,40.4,False,Arizona,08,357906.0,347734.0
Greg Stanton,D,True,61.6,True,Arizona,09,2001619.0,1001350.0
Dave Giles,R,False,38.4,False,Arizona,09,130480.0,129935.0
Rick Crawford,R,True,100.0,True,Arkansas,01,966801.0,1095518.0
French Hill,R,True,55.4,True,Arkansas,02,3384490.0,3020491.0
Joyce Elliott,D,False,44.6,False,Arkansas,02,3482463.0,3478733.0
Steve Womack,R,True,64.3,True,Arkansas,03,1127158.0,923120.0
Celeste Williams,D,False,D,False,Arkansas,03,355294.0,355294.0
Bruce Westerman,R,True,69.7,True,Arkansas,04,1407770.0,1102573.0
William Hanson,D,False,27.5,False,Arkansas,04,109767.0,111683.0
Doug LaMalfa,R,True,56.9,True,California,01,1219556.0,1155945.0
Audrey Denney,D,False,43.1,False,California,01,2461769.0,2457661.0
Jared Huffman,D,True,75.7,True,California,02,899419.0,797753.0
Dale Mensing,R,False,24.3,False,California,02,5921.0,2197.0
John Garamendi,D,True,54.7,True,California,03,1054066.0,667320.0
Tamika Hamilton,R,False,45.3,False,California,03,397099.0,384584.0
Tom McClintock,R,True,55.9,True,California,04,2053363.0,2107248.0
Brynne Kennedy,D,False,44.1,False,California,04,3006020.0,3002532.0
Mike Thompson,D,True,76.8,True,California,05,2208136.0,2022751.0
Doris Matsui,D,True,73.4,True,California,06,1019605.0,1073529.0
Chris Bish,R,False,26.6,False,California,06,44772.0,44554.0
Ami Bera,D,True,56.6,True,California,07,1757748.0,1053444.0
Buzz Patterson,R,False,43.4,False,California,07,43876.0,29614.0
Jay Obernolte,R,False,56.1,True,California,08,1861647.0,1792064.0
Chris Bubser,D,False,43.9,False,California,08,1858001.0,1856613.0
Jerry McNerney,D,True,57.6,True,California,09,1177959.0,1112543.0
Tony Amador,R,False,42.4,False,California,09,52175.0,52175.0
Josh Harder,D,True,55.2,True,California,10,7400135.0,3950613.0
Ted Howze,R,False,44.8,False,California,10,1426552.0,1721882.0
Mark Desaulnier,D,True,73.0,True,California,11,610394.0,440537.0
Nisha Sharma,R,False,27.0,False,California,11,174954.0,171870.0
Nancy Pelosi,D,True,77.6,True,California,12,27359508.0,22064953.0
Shahid Buttar,D,False,22.4,False,California,12,1672876.0,1650467.0
Barbara Lee,D,True,90.4,True,California,13,1828213.0,1750142.0
Nikka Piterman,R,False,9.6,False,California,13,9839.0,9904.0
Jackie Speier,D,True,79.3,True,California,14,942934.0,919599.0
Eric Swalwell,D,True,70.9,True,California,15,2807774.0,3977839.0
Jim Costa,D,True,59.3,True,California,16,2135525.0,1835244.0
Kevin Cookingham,R,False,40.7,False,California,16,265364.0,265364.0
Ro Khanna,D,True,71.3,True,California,17,3837982.0,2455457.0
Ritesh Tandon,R,False,28.7,False,California,17,175536.0,175015.0
Anna Eshoo,D,True,63.2,True,California,18,2114909.0,2059158.0
Rishi Kumar,D,False,36.8,False,California,18,674383.0,691938.0
Zoe Lofgren,D,True,71.7,True,California,19,1755555.0,1731700.0
Justin Aguilera,R,False,28.3,False,California,19,9112.0,11542.0
Jimmy Panetta,D,True,76.8,True,California,20,2009894.0,1592671.0
Jeff Gorman,R,False,23.2,False,California,20,67634.0,64947.0
TJ Cox,D,True,49.6,False,California,21,5695157.0,5694005.0
David Valadao,R,False,50.4,True,California,21,4067880.0,3982587.0
Devin Nunes,R,True,54.2,True,California,22,26825212.0,20156093.0
Phil Arballo,D,False,45.8,False,California,22,5091451.0,5062185.0
Kevin McCarthy,R,True,62.1,True,California,23,27780644.0,24265583.0
Kim Mangone,D,False,37.9,False,California,23,1671101.0,1665373.0
Salud Carbajal,D,True,58.7,True,California,24,2117836.0,1451622.0
Andy Caldwell,R,False,41.3,False,California,24,1298798.0,1268199.0
Mike Garcia,R,True,50.0,True,California,25,9962507.0,9584648.0
Christy Smith,D,False,50.0,False,California,25,5977734.0,5808477.0
Julia Brownley,D,True,60.6,True,California,26,1976695.0,1314677.0
Ronda Kennedy,R,False,39.4,False,California,26,246226.0,67208.0
Judy Chu,D,True,69.8,True,California,27,1213706.0,956298.0
Johnny Nalbandian,R,False,30.2,False,California,27,39584.0,39159.0
Adam Schiff,D,True,72.7,True,California,28,19382855.0,10188664.0
Eric Early,R,False,27.3,False,California,28,4085322.0,3790027.0
Tony Cardenas,D,True,56.6,True,California,29,1419697.0,1213588.0
Angelica Duenas,3,False,43.4,False,California,29,78083.0,76627.0
Brad Sherman,D,True,69.5,True,California,30,1513374.0,1111826.0
Pete Aguilar,D,True,61.3,True,California,31,2475748.0,1861434.0
Agnes Gibboney,R,False,38.7,False,California,31,138687.0,127907.0
Grace Napolitano,D,True,66.6,True,California,32,478426.0,251047.0
Joshua Scott,R,False,33.4,False,California,32,23624.0,14248.0
Ted Lieu,D,True,67.6,True,California,33,1661436.0,1582573.0
James Bradley,R,False,32.4,False,California,33,78910.0,79035.0
Jimmy Gomez,D,True,53.0,True,California,34,1401166.0,1268312.0
David Kim,D,False,47.0,False,California,34,193430.0,80381.0
Norma Torres,D,True,69.3,True,California,35,654727.0,664600.0
Mike Cargile,R,False,30.7,False,California,35,36113.0,35915.0
Raul Ruiz,D,True,60.3,True,California,36,2402624.0,1732443.0
Erin Cruz,R,False,39.7,False,California,36,54217.0,53840.0
Karen Bass,D,True,85.9,True,California,37,2216467.0,1202942.0
Errol Webber,R,False,14.1,False,California,37,66398.0,174076.0
Linda Sanchez,D,True,74.3,True,California,38,1246008.0,1140165.0
Gil Cisneros,D,True,49.4,False,California,39,4370133.0,4350464.0
Young Kim,R,False,50.6,True,California,39,6424556.0,6021651.0
Lucille Roybal-Allard,D,True,72.7,True,California,40,739790.0,741379.0
Antonio Delgado,R,False,27.3,False,California,40,85014.0,79270.0
Mark Takano,D,True,64.0,True,California,41,1020456.0,949494.0
Aja Smith,R,False,36.0,False,California,41,660658.0,659909.0
Ken Calvert,R,True,57.1,True,California,42,1441812.0,1549113.0
Liam O'Mara,D,False,42.9,False,California,42,130065.0,128782.0
Maxine Waters,D,True,71.7,True,California,43,1836660.0,1906957.0
Joe Collins,R,False,28.3,False,California,43,10556626.0,9921103.0
Nanette Barragan,D,True,67.8,True,California,44,1173909.0,714023.0
Katie Porter,D,True,53.5,True,California,45,16627706.0,6443700.0
Greg Raths,R,False,46.5,False,California,45,1245767.0,1241713.0
Lou Correa,D,True,68.8,True,California,46,1192715.0,650707.0
Alan Lowenthal,D,True,63.3,True,California,47,678648.0,854902.0
John Briscoe,R,False,36.7,False,California,47,25302.0,21538.0
Harley Rouda,D,True,48.9,False,California,48,5968858.0,6174443.0
Michelle Steel,R,False,51.1,True,California,48,6305665.0,6148591.0
Mike Levin,D,True,53.1,True,California,49,3845768.0,2901566.0
Brian Maryott,R,False,46.9,False,California,49,2810253.0,2808217.0
Darrell Issa,R,False,54.0,True,California,50,11239670.0,10947106.0
Ammar Campa-Najjar,D,False,46.0,False,California,50,6248210.0,6247762.0
Juan Vargas,D,True,68.3,True,California,51,799734.0,801671.0
Juan Hidalgo,R,False,31.7,False,California,51,83730.0,81182.0
Scott Peters,D,True,61.6,True,California,52,1911791.0,2131849.0
James Debello,R,False,38.4,False,California,52,233464.0,224630.0
