candidate_name,party,incumbent,winner,perc_vote,money_raised,money_spent,state_name,district,state_dist,perc_vote_max,winner_bool
Jerry Carl,R,0,1,64.9,1971321,1859349,AL,01,AL01,64.9,1
James Averhart,D,0,0,35.0,80095,78973,AL,01,AL01,64.9,0
Barry Moore,R,0,1,65.3,650807,669368,AL,02,AL02,65.3,1
Phyllis Harvey-Hall,D,0,0,34.6,56050,55988,AL,02,AL02,65.3,0
Mike D Rogers,R,1,1,67.5,1193111,1218564,AL,03,AL03,67.5,1
Adia Winfrey,D,0,0,32.4,50273,40971,AL,03,AL03,67.5,0
Robert B Aderholt,R,1,1,82.5,1255076,1323812,AL,04,AL04,82.5,1
Mo Brooks,R,1,1,95.8,655365,210045,AL,05,AL05,95.8,1
Gary Palmer,R,1,1,97.1,907219,909082,AL,06,AL06,97.1,1
Terri Sewell,D,1,1,97.2,2168165,1495957,AL,07,AL07,97.2,1
Don Young,R,1,1,54.4,1922901,1790448,AK,01,AK01,54.4,1
Alyse Galvin,I,0,0,45.3,5178452,5088103,AK,01,AK01,54.4,0
Tom OHalleran,D,1,1,51.6,3381353,3324138,AZ,01,AZ01,51.6,1
Tiffany Shedd,R,0,0,48.4,1675618,1615704,AZ,01,AZ01,51.6,0
Ann Kirkpatrick,D,1,1,55.1,1849862,1384765,AZ,02,AZ02,55.1,1
Brandon Martin,R,0,0,44.9,374821,381067,AZ,02,AZ02,55.1,0
Raul M Grijalva,D,1,1,64.6,843560,655507,AZ,03,AZ03,64.6,1
Daniel Wood,R,0,0,35.4,41422,41962,AZ,03,AZ03,64.6,0
Paul Gosar,R,1,1,69.8,622151,729892,AZ,04,AZ04,69.8,1
Delina DiSanto,D,0,0,30.2,77168,79758,AZ,04,AZ04,69.8,0
Andy Biggs,R,1,1,58.9,1602181,1236380,AZ,05,AZ05,58.9,1
Joan Greene,D,0,0,41.1,356069,209789,AZ,05,AZ05,58.9,0
David Schweikert,R,1,1,52.2,2265329,2249979,AZ,06,AZ06,52.2,1
Hiral Tipirneni,D,0,0,47.8,6301073,6366702,AZ,06,AZ06,52.2,0
Tom Lewellen,I,0,0,0.0,11685,11000,AZ,06,AZ06,52.2,0
Ruben Gallego,D,1,1,76.7,1811754,1653961,AZ,07,AZ07,76.7,1
Josh Barnett,R,0,0,23.3,28093,17883,AZ,07,AZ07,76.7,0
Debbie Lesko,R,1,1,59.6,1605245,987453,AZ,08,AZ08,59.6,1
Michael Muscato,D,0,0,40.4,357906,347734,AZ,08,AZ08,59.6,0
Greg Stanton,D,1,1,61.6,2001619,1001350,AZ,09,AZ09,61.6,1
Dave Giles,R,0,0,38.4,130480,129935,AZ,09,AZ09,61.6,0
Rick Crawford,R,1,1,100.0,966801,1095518,AR,01,AR01,100.0,1
French Hill,R,1,1,55.4,3384490,3020491,AR,02,AR02,55.4,1
Joyce Elliott,D,0,0,44.6,3482463,3478733,AR,02,AR02,55.4,0
Steve Womack,R,1,1,64.3,1127158,923120,AR,03,AR03,64.3,1
Celeste Williams,D,0,0,31.8,355294,355294,AR,03,AR03,64.3,0
Bruce Westerman,R,1,1,69.7,1407770,1102573,AR,04,AR04,69.7,1
William Hanson,D,0,0,27.5,109767,111683,AR,04,AR04,69.7,0
Doug LaMalfa,R,1,1,56.9,1219556,1155945,CA,01,CA01,56.9,1
Audrey Denney,D,0,0,43.1,2461769,2457661,CA,01,CA01,56.9,0
Jared Huffman,D,1,1,75.7,899419,797753,CA,02,CA02,75.7,1
Dale Mensing,R,0,0,24.3,5921,2197,CA,02,CA02,75.7,0
John Garamendi,D,1,1,54.7,1054066,667320,CA,03,CA03,54.7,1
Tamika Hamilton,R,0,0,45.3,397099,384584,CA,03,CA03,54.7,0
Tom McClintock,R,1,1,55.9,2053363,2107248,CA,04,CA04,55.9,1
Brynne Kennedy,D,0,0,44.1,3006020,3002532,CA,04,CA04,55.9,0
Mike Thompson,D,1,1,76.8,2208136,2022751,CA,05,CA05,76.8,1
Doris Matsui,D,1,1,73.4,1019605,1073529,CA,06,CA06,73.4,1
Chris Bish,R,0,0,26.6,44772,44554,CA,06,CA06,73.4,0
Ami Bera,D,1,1,56.6,1757748,1053444,CA,07,CA07,56.6,1
Buzz Patterson,R,0,0,43.4,43876,29614,CA,07,CA07,56.6,0
Jay Obernolte,R,0,1,56.1,1861647,1792064,CA,08,CA08,56.1,1
Chris Bubser,D,0,0,43.9,1858001,1856613,CA,08,CA08,56.1,0
Jerry McNerney,D,1,1,57.6,1177959,1112543,CA,09,CA09,57.6,1
Tony Amador,R,0,0,42.4,52175,52175,CA,09,CA09,57.6,0
Josh Harder,D,1,1,55.2,7400135,3950613,CA,10,CA10,55.2,1
Ted Howze,R,0,0,44.8,1426552,1721882,CA,10,CA10,55.2,0
Mark Desaulnier,D,1,1,73.0,610394,440537,CA,11,CA11,73.0,1
Nisha Sharma,R,0,0,27.0,174954,171870,CA,11,CA11,73.0,0
Nancy Pelosi,D,1,1,77.6,27359508,22064953,CA,12,CA12,77.6,1
Shahid Buttar,D,0,0,22.4,1672876,1650467,CA,12,CA12,77.6,0
Barbara Lee,D,1,1,90.4,1828213,1750142,CA,13,CA13,90.4,1
Nikka Piterman,R,0,0,9.6,9839,9904,CA,13,CA13,90.4,0
Jackie Speier,D,1,1,79.3,942934,919599,CA,14,CA14,79.3,1
Eric Swalwell,D,1,1,70.9,2807774,3977839,CA,15,CA15,70.9,1
Jim Costa,D,1,1,59.3,2135525,1835244,CA,16,CA16,59.3,1
Kevin Cookingham,R,0,0,40.7,265364,265364,CA,16,CA16,59.3,0
Ro Khanna,D,1,1,71.3,3837982,2455457,CA,17,CA17,71.3,1
Ritesh Tandon,R,0,0,28.7,175536,175015,CA,17,CA17,71.3,0
Anna Eshoo,D,1,1,63.2,2114909,2059158,CA,18,CA18,63.2,1
Rishi Kumar,D,0,0,36.8,674383,691938,CA,18,CA18,63.2,0
Zoe Lofgren,D,1,1,71.7,1755555,1731700,CA,19,CA19,71.7,1
Justin Aguilera,R,0,0,28.3,9112,11542,CA,19,CA19,71.7,0
Jimmy Panetta,D,1,1,76.8,2009894,1592671,CA,20,CA20,76.8,1
Jeff Gorman,R,0,0,23.2,67634,64947,CA,20,CA20,76.8,0
TJ Cox,D,1,0,49.6,5695157,5694005,CA,21,CA21,50.4,0
David Valadao,R,0,1,50.4,4067880,3982587,CA,21,CA21,50.4,1
Devin Nunes,R,1,1,54.2,26825212,20156093,CA,22,CA22,54.2,1
Phil Arballo,D,0,0,45.8,5091451,5062185,CA,22,CA22,54.2,0
Kevin McCarthy,R,1,1,62.1,27780644,24265583,CA,23,CA23,62.1,1
Kim Mangone,D,0,0,37.9,1671101,1665373,CA,23,CA23,62.1,0
Salud Carbajal,D,1,1,58.7,2117836,1451622,CA,24,CA24,58.7,1
Andy Caldwell,R,0,0,41.3,1298798,1268199,CA,24,CA24,58.7,0
Mike Garcia,R,1,1,50.0,9962507,9584648,CA,25,CA25,50.0,1
Christy Smith,D,0,0,50.0,5977734,5808477,CA,25,CA25,50.0,0
Julia Brownley,D,1,1,60.6,1976695,1314677,CA,26,CA26,60.6,1
Ronda Kennedy,R,0,0,39.4,246226,67208,CA,26,CA26,60.6,0
Judy Chu,D,1,1,69.8,1213706,956298,CA,27,CA27,69.8,1
Johnny Nalbandian,R,0,0,30.2,39584,39159,CA,27,CA27,69.8,0
Adam Schiff,D,1,1,72.7,19382855,10188664,CA,28,CA28,72.7,1
Eric Early,R,0,0,27.3,4085322,3790027,CA,28,CA28,72.7,0
Tony Cardenas,D,1,1,56.6,1419697,1213588,CA,29,CA29,56.6,1
Angelica Duenas,3,0,0,43.4,78083,76627,CA,29,CA29,56.6,0
Brad Sherman,D,1,1,69.5,1513374,1111826,CA,30,CA30,69.5,1
Pete Aguilar,D,1,1,61.3,2475748,1861434,CA,31,CA31,61.3,1
Agnes Gibboney,R,0,0,38.7,138687,127907,CA,31,CA31,61.3,0
Grace Napolitano,D,1,1,66.6,478426,251047,CA,32,CA32,66.6,1
Joshua Scott,R,0,0,33.4,23624,14248,CA,32,CA32,66.6,0
Ted Lieu,D,1,1,67.6,1661436,1582573,CA,33,CA33,67.6,1
James Bradley,R,0,0,32.4,78910,79035,CA,33,CA33,67.6,0
Jimmy Gomez,D,1,1,53.0,1401166,1268312,CA,34,CA34,53.0,1
David Kim,D,0,0,47.0,193430,80381,CA,34,CA34,53.0,0
Norma Torres,D,1,1,69.3,654727,664600,CA,35,CA35,69.3,1
Mike Cargile,R,0,0,30.7,36113,35915,CA,35,CA35,69.3,0
Raul Ruiz,D,1,1,60.3,2402624,1732443,CA,36,CA36,60.3,1
Erin Cruz,R,0,0,39.7,54217,53840,CA,36,CA36,60.3,0
Karen Bass,D,1,1,85.9,2216467,1202942,CA,37,CA37,85.9,1
Errol Webber,R,0,0,14.1,66398,174076,CA,37,CA37,85.9,0
